Num Fixed,Min-cut Weight
581,59
581,59
581,59
581,59
581,59
581,59
581,59
581,59
581,59
581,59
582,58
582,58
582,58
582,58
582,58
582,58
582,58
582,58
582,58
582,58
583,57
583,57
583,57
583,57
583,57
583,57
583,57
583,57
583,57
583,57
584,56
584,56
584,56
584,56
584,56
584,56
584,56
584,56
584,56
584,56
585,55
585,55
585,55
585,55
585,55
585,55
585,55
585,55
585,55
585,55
586,54
586,54
586,54
586,54
586,54
586,54
586,54
586,54
586,54
586,54
587,53
587,53
587,53
587,53
587,53
587,53
587,53
587,53
587,53
587,53
588,52
588,52
588,52
588,52
588,52
588,52
588,52
588,52
588,52
588,52
589,51
589,51
589,51
589,51
589,51
589,51
589,51
589,51
589,51
589,51
590,50
590,50
590,50
590,50
590,50
590,50
590,50
590,50
590,50
590,50
591,49
591,49
591,49
591,49
591,49
591,49
591,49
591,49
591,49
591,49
592,48
592,48
592,48
592,48
592,48
592,48
592,48
592,48
592,48
592,48
593,47
593,47
593,47
593,47
593,47
593,47
593,47
593,47
593,47
593,47
594,46
594,46
594,46
594,46
594,46
594,46
594,46
594,46
594,46
594,46
595,45
595,45
595,45
595,45
595,45
595,45
595,45
595,45
595,45
595,45
596,44
596,44
596,44
596,44
596,44
596,44
596,44
596,44
596,44
596,44
597,43
597,43
597,43
597,43
597,43
597,43
597,43
597,43
597,43
597,43
598,42
598,42
598,42
598,42
598,42
598,42
598,42
598,42
598,42
598,42
599,41
599,41
599,41
599,41
599,41
599,41
599,41
599,41
599,41
599,41
600,40
600,40
600,40
600,40
600,40
600,40
600,40
600,40
600,40
600,40
601,39
601,39
601,39
601,39
601,39
601,39
601,39
601,39
601,39
601,39
602,38
602,38
602,38
602,38
602,38
602,38
602,38
602,38
602,38
602,38
603,37
603,37
603,37
603,37
603,37
603,37
603,37
603,37
603,37
603,37
604,36
604,36
604,36
604,36
604,36
604,36
604,36
604,36
604,36
604,36
605,35
605,35
605,35
605,35
605,35
605,35
605,35
605,35
605,35
605,35
606,34
606,34
606,34
606,34
606,34
606,34
606,34
606,34
606,34
606,34
607,33
607,33
607,33
607,33
607,33
607,33
607,33
607,33
607,33
607,33
608,32
608,32
608,32
608,32
608,32
608,32
608,32
608,32
608,32
608,32
609,31
609,31
609,31
609,31
609,31
609,31
609,31
609,31
609,31
609,31
610,30
610,30
610,30
610,30
610,30
610,30
610,30
610,30
610,30
610,30
611,29
611,29
611,29
611,29
611,29
611,29
611,29
611,29
611,29
611,29
612,28
612,28
612,28
612,28
612,28
612,28
612,28
612,28
612,28
612,28
613,27
613,27
613,27
613,27
613,27
613,27
613,27
613,27
613,27
613,27
614,26
614,26
614,26
614,26
614,26
614,26
614,26
614,26
614,26
614,26
615,25
615,25
615,25
615,25
615,25
615,25
615,25
615,25
615,25
615,25
616,24
616,24
616,24
616,24
616,24
616,24
616,24
616,24
616,24
616,24
617,23
617,23
617,23
617,23
617,23
617,23
617,23
617,23
617,23
617,23
618,22
618,22
618,22
618,22
618,22
618,22
618,22
618,22
618,22
618,22
619,21
619,21
619,21
619,21
619,21
619,21
619,21
619,21
619,21
619,21
620,20
620,20
620,20
620,20
620,20
620,20
620,20
620,20
620,20
620,20
621,19
621,19
621,19
621,19
621,19
621,19
621,19
621,19
621,19
621,19
622,18
622,18
622,18
622,18
622,18
622,18
622,18
622,18
622,18
622,18
623,17
623,17
623,17
623,17
623,17
623,17
623,17
623,17
623,17
623,17
624,16
624,16
624,16
624,16
624,16
624,16
624,16
624,16
624,16
624,16
625,15
625,15
625,15
625,15
625,15
625,15
625,15
625,15
625,15
625,15
626,14
626,14
626,14
626,14
626,14
626,14
626,14
626,14
626,14
626,14
627,13
627,13
627,13
627,13
627,13
627,13
627,13
627,13
627,13
627,13
628,12
628,12
628,12
628,12
628,12
628,12
628,12
628,12
628,12
628,12
629,11
629,11
629,11
629,11
629,11
629,11
629,11
629,11
629,11
629,11
630,10
630,10
630,10
630,10
630,10
630,10
630,10
630,10
630,10
630,10
631,9
631,9
631,9
631,9
631,9
631,9
631,9
631,9
631,9
631,9
632,8
632,8
632,8
632,8
632,8
632,8
632,8
632,8
632,8
632,8
633,7
633,7
633,7
633,7
633,7
633,7
633,7
633,7
633,7
633,7
634,6
634,6
634,6
634,6
634,6
634,6
634,6
634,6
634,6
634,6
635,5
635,5
635,5
635,5
635,5
635,5
635,5
635,5
635,5
635,5
636,4
636,4
636,4
636,4
636,4
636,4
636,4
636,4
636,4
636,4
637,3
637,3
637,3
637,3
637,3
637,3
637,3
637,3
637,3
637,3
638,2
638,2
638,2
638,2
638,2
638,2
638,2
638,2
638,2
638,2
639,1
639,1
639,1
639,1
639,1
639,1
639,1
639,1
639,1
639,1
